
Arquivo de resultados funcao_clock_saida

n0              | n1              | n1-n0          

           2783 |            2789 |               6
           2797 |            2800 |               3
           2804 |            2806 |               2
           2810 |            2812 |               2
           2815 |            2818 |               3
           2821 |            2824 |               3
           2827 |            2829 |               2
           2832 |            2835 |               3
           2838 |            2840 |               2
           2844 |            2846 |               2
           2849 |            2852 |               3
           2855 |            2857 |               2
           2860 |            2863 |               3
           2866 |            2868 |               2
           2871 |            2874 |               3
           2877 |            2879 |               2
           2883 |            2885 |               2
           2888 |            2890 |               2
           2894 |            2896 |               2
           2899 |            2902 |               3
           2905 |            2907 |               2
           2911 |            2913 |               2
           2916 |            2919 |               3
           2922 |            2924 |               2
           2928 |            2930 |               2
           2933 |            2936 |               3
           2939 |            2941 |               2
           2945 |            2947 |               2
           2950 |            2952 |               2
           2956 |            2958 |               2
           2961 |            2964 |               3
           2967 |            2969 |               2
           2973 |            2975 |               2
           2978 |            2981 |               3
           2984 |            2986 |               2
           2989 |            2992 |               3
           2995 |            2998 |               3
           3001 |            3003 |               2
           3006 |            3009 |               3
           3012 |            3014 |               2
           3017 |            3020 |               3
           3023 |            3025 |               2
           3028 |            3031 |               3
           3034 |            3036 |               2
           3040 |            3042 |               2
           3045 |            3048 |               3
           3051 |            3053 |               2
           3056 |            3059 |               3
           3062 |            3064 |               2
           3068 |            3070 |               2
           3073 |            3076 |               3
           3079 |            3081 |               2
           3085 |            3087 |               2
           3090 |            3093 |               3
           3096 |            3098 |               2
           3101 |            3104 |               3
           3107 |            3109 |               2
           3113 |            3115 |               2
           3118 |            3120 |               2
           3124 |            3126 |               2
           3129 |            3132 |               3
           3135 |            3137 |               2
           3140 |            3143 |               3
           3146 |            3148 |               2
           3152 |            3154 |               2
           3157 |            3159 |               2
           3163 |            3165 |               2
           3168 |            3171 |               3
           3174 |            3176 |               2
           3179 |            3182 |               3
           3185 |            3187 |               2
           3191 |            3193 |               2
           3196 |            3198 |               2
           3202 |            3204 |               2
           3207 |            3210 |               3
           3213 |            3215 |               2
           3218 |            3221 |               3
           3284 |            3287 |               3
           3291 |            3294 |               3
           3297 |            3299 |               2
           3303 |            3305 |               2
           3308 |            3311 |               3
           3314 |            3316 |               2
           3320 |            3322 |               2
           3325 |            3327 |               2
           3331 |            3333 |               2
